train_acc,train_loss,val_acc,val_loss
0.056526315789473695,4.2065578,0.09480000000000001,3.8591058
0.11524210526315791,3.7625513,0.14279999999999998,3.5650735
0.17054736842105261,3.4542842,0.20199999999999999,3.2876961
0.21602105263157897,3.1871455,0.24600000000000002,3.0873754
0.25290526315789474,2.9861052,0.278,2.9476624
0.2783789473684211,2.8557742,0.2756,2.9029331
0.30406315789473687,2.7409997,0.3076,2.7700238
0.31848421052631576,2.660464,0.316,2.6730816
0.33294736842105266,2.5872529,0.33520000000000005,2.6006513
0.34610526315789475,2.516587,0.33759999999999996,2.6218145
0.3600631578947369,2.4602358,0.3472,2.5303957
0.36907368421052633,2.4129007,0.35159999999999997,2.5019133
0.3783789473684211,2.3669086,0.3776,2.4008863
0.38513684210526317,2.3265193,0.3736,2.4013114
0.3972631578947369,2.28478,0.37040000000000006,2.3864906
0.40307368421052625,2.2514052,0.37559999999999993,2.3832738
0.410442105263158,2.211767,0.392,2.3539615
0.4184842105263158,2.1855094,0.3996,2.2898092
0.425221052631579,2.1534166,0.39799999999999996,2.2940419
0.4310736842105263,2.1281173,0.41359999999999997,2.2451162
0.43646315789473683,2.1021414,0.40679999999999994,2.3132284
0.43907368421052634,2.0834439,0.41159999999999997,2.19241
0.4464421052631579,2.0564983,0.4232,2.201533
0.4514526315789474,2.0253994,0.4368,2.1341698
0.45349473684210534,2.0148437,0.4312,2.166453
0.4577052631578948,1.9927119,0.4372,2.15366
0.4638947368421053,1.9665194,0.442,2.107922
0.47031578947368424,1.950962,0.42680000000000007,2.1968184
0.4718947368421052,1.9422414,0.4408000000000001,2.0955896
0.4772,1.9256134,0.4272000000000001,2.1652842
0.48166315789473685,1.8981483,0.4428,2.1298406
0.4858526315789473,1.8863548,0.4348,2.1865551
0.4872,1.875326,0.44559999999999994,2.1628962
0.494,1.8514276,0.44839999999999997,2.1253312
0.49328421052631577,1.8446447,0.4648,2.0149136
0.49682105263157894,1.8300188,0.4664,2.0056493
0.5011157894736842,1.8183352,0.45399999999999996,2.0172546
0.49957894736842107,1.8113056,0.4612,2.0386207
0.5055578947368421,1.8014497,0.4603999999999999,2.0738943
0.5096631578947368,1.7817132,0.45640000000000003,2.0203826
0.5124631578947368,1.7700238,0.46880000000000005,2.0031319
0.514378947368421,1.7649848,0.46080000000000004,2.0129514
0.516821052631579,1.7489794,0.4711999999999999,1.9803599
0.5180631578947368,1.740338,0.4768,1.9848242
0.5214947368421052,1.7275822,0.48440000000000005,1.9542756
0.5218526315789473,1.7200401,0.4792,1.9557346
0.5267999999999999,1.708624,0.4728000000000001,1.9910814
0.5272842105263158,1.6942298,0.4764000000000001,1.9701407
0.5265684210526316,1.6911718,0.48919999999999997,1.9295748
0.5334526315789475,1.6754248,0.4828,1.9447026
0.535978947368421,1.6712317,0.4768,1.9530919
0.536021052631579,1.6624132,0.4924,1.8912567
0.5358105263157895,1.6573474,0.4876,1.9270767
0.5411157894736841,1.6415994,0.4867999999999999,1.9302942
0.5442526315789473,1.6319765,0.4932,1.9158926
0.5445894736842105,1.6242357,0.48119999999999996,1.9253664
0.5447578947368421,1.6228983,0.49439999999999995,1.8899796
0.5477894736842106,1.6163051,0.48919999999999997,1.90277
0.5501263157894738,1.6099627,0.48479999999999995,1.9079281
0.5515578947368421,1.5940423,0.4867999999999999,1.8759462
0.5528000000000001,1.5894415,0.486,1.8885815
0.5550736842105263,1.5817714,0.48879999999999996,1.8978896
0.5548210526315789,1.580238,0.504,1.876951
0.5571368421052632,1.5697764,0.4928,1.898376
0.5605052631578947,1.5620104,0.5015999999999999,1.8873374
0.5601052631578947,1.5559154,0.4996,1.8664566
0.5631157894736842,1.5564522,0.4948,1.8838354
0.5633263157894737,1.5474648,0.5008,1.8800735
0.5631368421052632,1.5452616,0.4968,1.8906823
0.5685052631578947,1.5313567,0.504,1.8800442
0.5681473684210526,1.5284092,0.4996,1.8760883
0.5690736842105263,1.524457,0.5039999999999999,1.8543278
0.5715789473684211,1.5165814,0.5015999999999999,1.8648233
0.5688631578947368,1.5164666,0.5048,1.8590004
0.5740210526315789,1.5072559,0.5064000000000001,1.8713837
0.5746736842105263,1.4990753,0.5112,1.8487381
0.5766526315789473,1.4977347,0.508,1.8585577
0.5793052631578947,1.4893491,0.49400000000000005,1.8646193
0.5778947368421052,1.4903587,0.5108,1.8481436
0.5781473684210526,1.4877632,0.51,1.8561565
0.5791789473684211,1.4811481,0.5064,1.8247216
0.579642105263158,1.4830706,0.5112,1.825028
0.5798105263157894,1.4783208,0.5132000000000001,1.843464
0.5822736842105264,1.472868,0.5068,1.8458463
0.5841684210526317,1.4685501,0.5148,1.8353406
0.5838736842105264,1.4671788,0.512,1.8364705
0.5847157894736842,1.459223,0.512,1.8381419
0.582821052631579,1.464533,0.5112,1.8255169
0.5857684210526316,1.4609702,0.5095999999999999,1.8321158
0.5855999999999999,1.4571798,0.51,1.8328803
0.5863789473684211,1.4541055,0.5136,1.8275932
0.5898736842105263,1.4531726,0.5144,1.8324856
0.5876631578947368,1.4497379,0.5184000000000001,1.8195529
0.5877473684210528,1.4557469,0.512,1.835351
0.5858947368421051,1.455657,0.514,1.8223796
0.5876210526315789,1.4446479,0.5164,1.8267119
0.5866315789473684,1.4475031,0.5160000000000001,1.823259
0.5885894736842104,1.447003,0.5115999999999999,1.8290007
0.5903789473684212,1.447275,0.5127999999999999,1.8223889
0.5896,1.4480951,0.5108,1.8336344
