train_acc,train_loss,val_acc,val_loss
0.015178947368421052,4.5672765,0.0228,4.714534
0.024189473684210528,4.4712706,0.03840000000000001,5.2521935
0.04052631578947368,4.3165607,0.06,4.6103234
0.05989473684210527,4.1620927,0.086,4.5441923
0.0752421052631579,4.0668325,0.1024,4.2637577
0.09008421052631581,3.9748857,0.10640000000000001,4.3632236
0.10250526315789475,3.8752058,0.126,4.4598804
0.12023157894736845,3.7806618,0.1444,4.0500045
0.13273684210526315,3.696418,0.1548,4.1804624
0.14688421052631578,3.626066,0.1624,4.011887
0.16126315789473686,3.5536802,0.16680000000000003,3.9412987
0.17437894736842105,3.494427,0.19039999999999999,3.8122184
0.18050526315789475,3.445661,0.1784,4.173216
0.19170526315789474,3.3855371,0.19679999999999997,4.1190104
0.19945263157894738,3.3146422,0.2028,3.9886024
0.2125263157894737,3.2611604,0.234,3.770878
0.22054736842105263,3.2131436,0.23399999999999999,3.738025
0.23092631578947367,3.17025,0.22560000000000002,4.4713397
0.23690526315789473,3.1252804,0.22920000000000001,3.9779463
0.24313684210526318,3.090828,0.2228,3.790341
0.2504842105263158,3.0601845,0.21960000000000002,3.903546
0.25473684210526315,3.0234962,0.22519999999999998,3.9418159
0.26334736842105266,2.9852617,0.2588,3.8387854
0.2720421052631579,2.9502997,0.2588,3.7227743
0.27827368421052634,2.9264052,0.2432,3.6505005
0.27941052631578955,2.9104562,0.244,3.4206595
0.2829052631578947,2.8803625,0.26239999999999997,3.7595258
0.2887578947368421,2.8435168,0.25120000000000003,3.609669
0.2969052631578947,2.8204436,0.2576,3.5153763
0.29585263157894737,2.813396,0.27080000000000004,3.441394
0.3026105263157895,2.779227,0.26520000000000005,3.5353959
0.30374736842105265,2.7740393,0.256,3.4678087
0.3102526315789474,2.7360911,0.2952,3.5361228
0.3148842105263158,2.724673,0.2952,3.47093
0.31513684210526316,2.7074409,0.2912,3.421369
0.3224842105263158,2.6809044,0.268,3.6241586
0.3228842105263157,2.6765778,0.2864,3.3375466
0.3278315789473685,2.6450067,0.2872,3.5101779
0.3314526315789474,2.6379128,0.2932,3.4613895
0.33233684210526315,2.630515,0.28680000000000005,3.3500443
0.33541052631578944,2.6222913,0.30119999999999997,3.30595
0.33818947368421054,2.5957432,0.29479999999999995,3.257911
0.3414947368421053,2.5813124,0.3096,3.236723
0.3461052631578947,2.5623503,0.2924,3.5901291
0.34610526315789475,2.5611696,0.3108,3.42115
0.3508210526315789,2.5474758,0.3108,3.1603003
0.35223157894736845,2.530388,0.3068,3.3593912
0.35642105263157897,2.514466,0.3184,3.400577
0.35726315789473684,2.4998114,0.3096,3.1528616
0.3567157894736842,2.5001156,0.3112,3.3827996
0.3622526315789474,2.4766345,0.30560000000000004,3.351145
0.36637894736842097,2.4714608,0.30200000000000005,3.474929
0.36677894736842104,2.461085,0.3044,3.3679242
0.3676631578947368,2.4508033,0.3124,3.341643
0.3692631578947368,2.450264,0.3104,3.2232974
0.3707157894736843,2.4303205,0.3232,3.2761173
0.3723578947368421,2.4247122,0.3208,3.3784442
0.3773473684210526,2.4112062,0.3276,3.190611
0.3773894736842105,2.4101486,0.33760000000000007,3.2748313
0.38052631578947366,2.398587,0.32480000000000003,3.1047606
0.3786105263157895,2.3978636,0.32800000000000007,3.2268934
0.3843157894736842,2.3849516,0.32280000000000003,3.2786145
0.38115789473684214,2.3889673,0.3356,3.3938057
0.38614736842105263,2.369994,0.3204,3.249833
0.38439999999999996,2.369946,0.3296,3.219298
0.3891157894736842,2.35783,0.32280000000000003,3.3030245
0.3894736842105263,2.3469393,0.3296,3.2345078
0.39223157894736843,2.3402166,0.33840000000000003,3.260246
0.3920421052631579,2.3441808,0.33880000000000005,3.2109973
0.3941684210526316,2.329866,0.32799999999999996,3.254737
0.39734736842105267,2.3160002,0.3456,3.155925
0.39593684210526314,2.3186584,0.3456,3.2218614
0.3970105263157894,2.313698,0.3471999999999999,3.2274117
0.3981684210526316,2.306635,0.3335999999999999,3.2213383
0.39816842105263156,2.308745,0.33640000000000003,3.1947112
0.40069473684210527,2.2965295,0.3492,3.2692215
0.4001684210526317,2.3011754,0.3428000000000001,3.2062337
0.4028,2.2926629,0.35440000000000005,3.1502771
0.40269473684210527,2.2878351,0.3440000000000001,3.1516106
0.405221052631579,2.275099,0.3448,3.1613991
0.4057052631578947,2.2782793,0.352,3.1345272
0.4038947368421053,2.2791886,0.3452,3.1531518
0.4090105263157895,2.2661994,0.35359999999999997,3.169523
0.40680000000000005,2.2664971,0.34559999999999996,3.1640725
0.4052421052631579,2.2637067,0.34800000000000003,3.146931
0.4097894736842105,2.2555223,0.3536000000000001,3.2046456
0.40757894736842104,2.2576752,0.35600000000000004,3.1521773
0.4107368421052631,2.246791,0.35200000000000004,3.2191608
0.41345263157894735,2.2541459,0.3528,3.1336236
0.40888421052631585,2.2553532,0.352,3.169901
0.41023157894736845,2.2568173,0.3532,3.1680725
0.4116,2.247439,0.352,3.1485615
0.41197894736842106,2.243157,0.34679999999999994,3.1613204
0.4131368421052632,2.2417262,0.3516,3.1664596
0.41448421052631584,2.2414377,0.3544,3.1622999
0.41231578947368425,2.2411728,0.3552,3.154689
0.412,2.2455707,0.35879999999999995,3.1503294
0.41147368421052627,2.239023,0.35639999999999994,3.1556885
0.4121894736842105,2.2393818,0.35400000000000004,3.1570456
0.4151157894736842,2.228082,0.3556,3.156259
